and һәм
as кебек
break туктатырга
class класс
continue дәвам_итәргә
def билгеләргә
del юарга
elif әгәр_баш
if әгәр
else башкача
except көтергә
False Ялган
finally ахырда
for өчен
from бу
global глобаль
import импорт
in эчтә
is тигез
lambda ламда
None һичбер
nonlocal nonlocal
not түгел
or әллә
pass үткәрергә
raise шалтыратырга
return кайтарырга
True Дөрес
try сынау
while әлегә
with моның_белән
yield саклап_кайтару
int тулы_сан
float вакланма
str сызык
list исемлек
tuple кортеж
set күпләр
dict сүзлек
abs модуль
all барысы_да
any кайберләре 
bin бинарга
bool логик
bytearray байт_массивы
bytes байтларга 
callable чакырыла_торган
chr хәрефкә 
classmethod классның_методы
compile җитештерергә
complex комплекс_сан
delattr атрибут_бетергә
dir директория
divmod дивмод
enumerate санаучы
eval санарга 
exec үтәтү
filter фильтр
format формат
frozenset үзгәрмешсез_күп
getattr мәгънә_алу
input тыгу
import импорт
iter итератор
isinstance вәкил
issubclass подкласс
len озынлык
map чагыштыру
max макс
min мин
oct октга
object объект 
open ачырга
ord символ_саны
pow дәрәҗәгә
print язарга
range диапозонда
repr тасвирламасы
reversed борылырга
round түгәрәкләндерергә
slice турарга
sorted сортларга 
staticmethod staticmethod
sum сумма
super супер
type төр
find табырга
rfind р_табырга
index индекс
rindex р_индекс
replace алмаштырарга
split аерылу
zip кысырга
isdigit сан_бармы
isalpha хәреф_бармы
isalnum сан_хәреф_бармы
islower аска_регистр_бармы
isupper өске_регистр_бармы
isspace пробел_бармы
istitle өске_регистр_башланамы
upper өске
lower аска
join сызык_ясарга
capitalize беренче_символны_күтәрү
count саны_керү
swapcase регистрларны_үзгәртә
format форматлау
append ахырга_өстәргә
extend киңәйтергә
insert элементны_куярга
remove беренче_элемент_бетергә
pop элемент_бетергә
copy күчергә
clear чистартырга
